frame_id,maneuver_type,maneuver_type
0,Straight,Straight
1,Straight,Straight
2,Straight,Straight
3,Straight,Straight
4,Straight,Straight
5,Straight,Straight
6,Straight,Straight
7,Straight,Straight
8,Straight,Straight
9,Straight,Straight
10,Straight,Straight
11,Straight,Straight
12,Straight,Straight
13,Straight,Straight
14,Straight,Straight
15,Straight,Straight
16,Straight,Straight
17,Straight,Straight
18,Straight,Straight
19,Straight,Straight
20,Straight,Straight
21,Straight,Straight
22,Straight,Straight
23,Straight,Straight
24,Straight,Straight
25,Straight,Straight
26,Straight,Straight
27,Straight,Straight
28,Straight,Straight
29,Straight,Straight
30,Straight,Straight
31,Straight,Straight
32,Straight,Straight
33,Straight,Straight
34,Straight,Straight
35,Straight,Straight
36,Straight,Straight
37,Straight,Straight
38,Straight,Straight
39,Straight,Straight
40,Straight,Straight
41,Straight,Straight
42,Straight,Straight
43,Straight,Straight
44,Straight,Straight
45,Straight,Straight
46,Straight,Straight
47,Straight,Straight
48,Straight,Straight
49,Straight,Straight
50,Straight,Straight
51,Straight,Straight
52,Straight,Straight
53,Straight,Straight
54,Straight,Straight
55,Straight,Straight
56,Straight,Straight
57,Straight,Straight
58,Straight,Straight
59,Straight,Straight
60,Straight,Straight
61,Straight,Straight
62,Straight,Straight
63,Straight,Straight
64,Straight,Straight
65,Straight,Straight
66,Straight,Straight
67,Straight,Straight
68,Straight,Straight
69,Straight,Straight
70,Straight,Straight
71,Straight,Straight
72,Straight,Straight
73,Straight,Straight
74,Straight,Straight
75,Straight,Straight
76,Straight,Straight
77,Straight,Straight
78,Straight,Straight
79,Straight,Straight
80,Straight,Straight
81,Straight,Straight
82,Straight,Straight
83,Straight,Straight
84,Straight,Straight
85,Straight,Straight
86,Straight,Straight
87,Straight,Straight
88,Straight,Straight
89,Straight,Straight
90,Straight,Straight
91,Straight,Straight
92,Straight,Straight
93,Straight,Straight
94,Straight,Straight
95,Straight,Straight
96,Straight,Straight
97,Straight,Straight
98,Straight,Straight
99,Straight,Straight
100,Straight,Straight
101,Straight,Straight
